Module1	Module2	Module3	Module4	Module5	Module6
126	Kdm5b	Mtch1	Rpl14	Cdk11b	Hpca	Ndrg4
127	Ptprg	A930011G23Rik	Tceb2	Inpp5f	Fam169a	Stx4a
128	Smap1	Idh2	Sh3bp5	Macf1	Dlgap1	1500011K16Rik
129	Hmgcr	Hnrnpab	Smarcd3	Hnrnpu	Nrbp2	Elmod1
130	Top2b	Eef2	Pam16	Iltifb	5730409E04Rik	C330006A16Rik
131	Dcx	H3f3b	Arhgdig	Zmiz1	Synj1	Ppm1j
132	Hspa5	Mycn	Ndufb2	Pygo1	Kcnh7	Stk32c
133	Akap6	S100a10	Tmem256	Ppfia2	Hbegf	Dmtn
134	Ret	Dbn1	2010107E04Rik	Hspa12a	Prkaa2	Acot13
135	Tcf4	Bbc3	Zfp580	Sept3	Fstl5	Laptm4b
136	Khdrbs3	Rps9	Ndufv3	Trim2	Mef2a	Tppp3
137	Akap13	Synm	Cox6b1	Chd4	Slc6a11	Rasgef1a
138	Slc24a5	Arpc3	Mrps21	Serpine2	Atp1a3	Sept4
139	Acly	Rgs6	Uba52	Mycbp2	B4galt6	Igsf8
140	Eid1	Set	Myeov2	Map6	Cyp46a1	Nat14
141	Ssbp3	Gap43	Atp5g1	Sez6l	Gramd1b	Unc80
142	Rnd3	Hmgb1	Sepw1	Id4	Pkp4	Arhgef4
143	Gamt	Gtf2e2	Fgf13	Wdr60	Sv2a	Reps2
144	Tbx2	Cdk4	Cycs	Kitl	Atxn1	Pkm
145	Cxxc5	Spg21	Ccl27a	Rbms1	Endod1	Sphkap
146	Hspa4	Bzw2	Ndufa2	Ptprd	2900011O08Rik	Crhbp
147	Ier2	Evl	Uqcr11	Sptbn1	Camta1	Syt1
148	Sh3bgrl	Gstm7	Rbpms	Cmip	Ppargc1a	Tmem151a
149	Myef2	mt-Co1	Tuba1b	Pabpc1	Myo1b	Nfic
150	Ostf1	Arl8a	Fam57b	Casz1	Rab27b	Cnnm1
151	Tox3	Crmp1	Ap2m1	Psd	Nars	Enpp5
152	Smarcc1	Dpysl5	Rpl13a	Zc3h13	Ttc3	Ncdn
153	Ctnnb1	Gng2		Olfm1	Ryr2	Atp6v1c1
154	Thsd7b	Col9a1		Ntm	Psd3	Spryd3
155	Nav2	Srsf3		Runx1t1	Rph3a	Rap1gds1
156	Msi2	Ap3s1		Camk1d	Nptxr	Mfsd6
157	Sapcd1	Manf		Ktn1	Nptx2	Chrnb3
158	Gadd45a	Spink13		Reln	Gpr26	Emc10
159	Fam63b	Pfn1		Sdc3	AI593442	Ttll7
160	Enc1	Cd63		Robo2	Lingo2	St6galnac6
161	Atf5	Rpl22		Bzrap1	Rapgef4	Pmp22
162	Sema3a	Nipsnap3b		Tle4	Kifap3	Cntnap1
163	Qk	Ina		Cacna1b	Rbfox3	Camkv
164	Tenm3	Snrpe		Nefl	Car10	Pura
165	Ddx5	Nkain3		Pde1c	Nlgn3	Zbtb4
166	Bzw1	Gm26917		Gabra3	Prkab2	Hcn1
167	Ctnna1	Abracl		Mtus2	Gucy1a3	Sh3gl2
168	Ucp2	Cks2		Rbms3	Tmem127	Tmem191c
169	Ntrk1	Fdft1		Tmod2	Adam22	Il34
170	Efnb2	Rps27l		Ppp1r9a	Flrt1	Rnd1
171	Slc39a10	Sh3glb1		Tenm4	Nell1	Ccdc85b
172	Chst2	Adamts5		L1cam	Grm1	Cpne6
173	Cadps	Hnrnpa3		Eif5b	Tcerg1l	Gabarapl1
174	Mpp6	Dnaja1		Acin1	Fos	Pianp
175	Elavl2	Tmem27		Ddx3y	Klf6	Anxa6
176	Pdia3	Atp6v1g1		Bcl11b	Cacna1g	Sept8
177	Palld	Sbk1		Rbm25	Map4	Lgi1
178	Akap12	Eif5a		Htatsf1	Fat3	Map1a
179	Dclk1	Rpl8		Srcin1	Chgb	Rgs8
180	Plxdc2	Hspa8		Camsap2	Brinp1	Nxt2
181	Miat	Rps24		Fxr1	Rgs11	Fn3k
182	C1qtnf4	Eif1		Pak3	Ncald	Hddc3
183	Zbtb20	Ube2d1		Dync1i2	Scamp1	Plvap
184	Nedd4	Klf7		Pkia	Uri1	Pnmal2
185	Clec2l	Tmem158		Ankfy1	Bean1	Ablim2
186		Naca		Ephb1	Plcxd2	Eml2
187		B930036N10Rik		Ablim1	Arhgef17	Nat8l
188		Ppdpf		Epha5	Cd47	Nol3
189		Hdac2		Kif1b	Prkacb	Hsbp1l1
190		Gabarap		Tnrc6c	Ppfia4	Cbx6
191		Isl1		Pcdh19	Cpeb2	Pir
192		Rps3		Zfp804a	Gphn	Tspan7
193				Xpr1	Sez6	Hspa1a
194				Ttc28	AI314180	Dlg2
195				Atp8a1	Lmo4	B230217C12Rik
196				Lrrn3	Unc5d	Kcnj9
197				Crim1	Cspg5	Nceh1
198				Ncl	Satb1	Syngr1
199					Atp6v0a1	Gaa
200					Dner	Asph
201					Snap91	Ccdc92
202					Smarca2	Wbscr27
203					Lrrc4c	Sh3bgr
204					Chd3	Acbd4
205					Lrrfip1	Ier3
206					Hmgn3	Elmo1
207					Cpne8	Lgals1
208					Tanc2	Caln1
209					Prkce	Abhd12
210					Dst	Plekhb2
211					Cdh13	Cds2
212					Cacna2d1	Itpr1
213					B3galt2	Dnajc27
214					Socs2	Gucy1b3
215					Pafah1b1	Dnm1
216					Dnajc5	Kcnb1
217					Cox7b	Slc7a14
218					Syt4	Psap
219					Chmp2b	Avpi1
220					Rab6b	Lsamp
221					Ehbp1l1	Zfp365
222					Gstp1	Rasd2
223					Adap1	Nr1d2
224					Atp1a1	Lgmn
225					Prelid2	Pls3
226					App	Pdlim7
227					Tmeff2	Ghitm
228					Cpne5	Stx1b
229					Ppp3cb	Blvra
230					Cadm1	Il12a
231					Abr	Rell2
232					Tpm1	Luzp1
233					Neurod1	Cplx1
234					Ids	Hspa4l
235					B3gat1	Gfra4
236					B3gat2	Smim12
237						Anxa5
238						Tmem179
239						Acyp2
240						Cend1
241						Ppp1r17
242						Nkiras1
243						Grin1
244						Sirt3
245						Fkbp2
246						Car11
247						A330050F15Rik
248						Kcnc1
249						Nap1l2
250						Ntrk3
251						Cd151
252						Cnih3
253						Synpr
254						Syt2
255						Zfp467
256						Camk2d
257						Cdip1
258						Ndrg3
259						Slc6a17
260						Pcdh7
261						Slc35g2
262						Rom1
263						Snhg11
264						Gprc5b
265						Rnf13
266						Arpp21
267						Nrsn2
268						Zwint
269						Rap1gap
270						Rasgrp2
271						Hspa2
272						Kcnc2
273						Tnr
274						Rab3c
275						Omg
276						Rab3a
277						Nab2
278						Gsta4
279						Fam174a
280						Fgf11
281						Asic2
282						Diras2
283						Rbm43
284						Nupr1
285						Phgdh
286						Panx2
287						Mapk10
288						Tspyl4
289						Mdh1
290						Chac1
291						Sytl2
292						Tceal1
293						Rnf6
294						Glo1
295						Nfe2l1
296						Kcna6
297						Flywch1
298						AI413582
299						Vamp2
300						Egfl7
301						Htr1d
302						Htr1b
